Country	GDP
Andorra	7218506.5852
United Arab Emirates	779923353.460913
Afghanistan	35995502.64959
Antigua and Barbuda	2824198.27005
Albania	29552110.78423
Armenia	16549683.94442
Angola	241608964.49535
Argentina	802918000.84592
Austria	905347466.57267
Australia	2653099062.78125
Aruba	5508167.677073
Azerbaijan	98539570.03359
Bosnia and Herzegovina	39537525.34992
Barbados	10009069.494104
Bangladesh	249553740.585602
Belgium	1497300660.25482
Burkina Faso	16047971.398078
Bulgaria	140511468.91874
Bahrain	62876722.601845
Burundi	4930789.57508
Benin	16596879.34199
Bermuda	10300063.889788
Brunei Darussalam	35328802.87475
Bolivia, Plurinational States of	53121519.35684
Brazil	4463301955.16
Bahamas	15526362.707224
Bhutan	3855126.2519
Botswana	31567817.30787
Belarus	4400898.83166
Belize	3295835.78855
Canada	3811827215.06015
Congo, The Democratic Republic of the	79198401.64343
Central African Republic	3427597.043693
Congo	29133257.75168
Switzerland	1312115803.2779
Cote d'Ivoire	52159493.93642
Chile	474742447.33162
Cameroon	60733125.66465
China	1518118106.32872
Colombia	431894475.9883
Costa Rica	95674563.271016
Cuba	119592760.73578
Cape Verde	4454385.04497
Cyprus	45737828.2746
Czech Republic	598635110.503287
Germany	13914614.530755
Djibouti	3416999.012174
Denmark	760006249.9042
Dominican Republic	106940339.048949
Algeria	372313791.917448
Ecuador	147344689.80581
Estonia	56387394.67748
Egypt	456594253.319257
Eritrea	6395675.28491
Spain	3159349996.97263
Ethiopia	2049729.69021
Finland	577349459.799775
Fiji	9666288.93924
France	5644450042.82504
Gabon	50168978.585127
United Kingdom	5248980329.51537
Georgia	26006607.47179
Ghana	75639171.60655
Greenland	5537276.617551
Gambia	2605033.304522
Guinea	11868044.34999
Greece	456916447.57713
Guatemala	98654152.215178
Guyana	572174376.472711
Hong Kong	623694646.533887
Honduras	44078688.245968
Croatia	136015530.223485
Haiti	16563795.21204
Hungary	345402117.724554
Indonesia	636578478.959577
Ireland	508734287.669031
Israel	573051314.097575
India	3763551237.33086
Iraq	315088866.81618
Iran, Islamic Republic of	792615486.940865
Iceland	34993820.46384
Italy	4779248920.06358
Jamaica	30937723.250173
Jordan	106513973.925973
Japan	6874007059.46079
Kenya	78559933.115964
Kyrgyzstan	13849542.243483
Cambodia	29876639.82298
Korea, Democratic People's Republic of	22961117.1941
Korea, Republic of	226637134.990306
Kuwait	258632115.210238
Cayman Islands	6540663.468412
Kazakhstan	693059335.16685
Lao People's Democratic Republic	16126554.34361
Lebanon	74496727.40627
Liechtenstein	16277169.65563
Sri Lanka	117230722.734602
Liberia	4304868.98582
Lesotho	5853444.68957
Lithuania	84372746.2835642
Luxembourg	192341956.614375
Latvia	61377149.538463
Libya	82178606.002026
Morocco	199560664.130817
Monaco	13636246.88142
Moldova	227697.67454
Montenegro	10573868.10251
Madagascar	23650049.433746
Macedonia, the former Yugoslav Republic of	29905860.392433
Mali	22489124.46029
Myanmar	133257909.371849
Mongolia	19805690.06018
Macao	62741541.82985
Mauritania	11567710.86971
Malta	17864918.5710475
Mauritius	20307701.626629
Maldives	5594439.03378
Malawi	12043366.57892
Mexico	2089568740.44066
Malaysia	2625795032.69826
Mozambique	25241523.525247
Namibia	23669330.2341
New Caledonia	20834247.44105
Niger	11805621.24712
Nigeria	400433383.233604
Nicaragua	22107615.21047
Netherlands	2058135877.36989
Norway	755524323.192549
Nepal	40553473.934054
New Zealand	417790786.11909
Oman	130154306.79968
Panama	71978504.114956
Peru	336211244.5685
French Polynesia	15836100.588948
Papua New Guinea	35372817.48293
Philippines	86104253.39206
Pakistan	469253621.711897
Poland	1118760543.27497
Palestinian Territory, Occupied	20190988.88529
Portugal	482936048.518561
Paraguay	68656380.04541
Qatar	219118946.41597
Romania	400887831.643444
Serbia	110731657.97735
Russian Federation	3895205901.02407
Rwanda	12719068.26762
Saudi Arabia	1119180629.47119
Seychelles	5165877.31404
Sudan	106564555.693328
Sweden	1167202895.50743
Singapore	950842176.315861
Slovenia	122960079.51664
Slovakia	270129433.604352
Sierra Leone	9332564.23585
San Marino	3798650.267114
Senegal	44919142.68709
Somalia	2903895.824797
Suriname	8412849.06743
South Sudan	27821750.56093
Sao Tome and Principe	871712.050914
El Salvador	44202257.45912
Syrian Arab Republic	113775573.900923
Swaziland	7968220.29353
Chad	17849821.80057
Togo	10269050.10482
Thailand	1330610504.06106
Tajikistan	16695839.08115
Turkmenistan	53266153.41633
Tunisia	107795083.211012
Turkey	1133690871.52586
Trinidad and Tobago	72830844.919895
Taiwan, Province of China	875018796.228511
Tanzania, United Republic of	22322921.628428
Ukraine	905870306.869218
Uganda	43780355.94005
United States	33031381154.672
Uruguay	94079024.2152803
Uzbekistan	599897202.587601
Venezuela, Bolivarian Republic of	783087459.07101
Virgin Islands, British	2118312.106461
Viet Nam	741127956.451899
Vanuatu	2211169.746439
Samoa	1740485.470306
Yemen	70698460.228693
South Africa	761169231.156346
Zambia	43520327.41834
Zimbabwe	918625.382042
