consumption_country	finalsale_country	finalsale_industry	threat_intensity
Afghanistan	Afghanistan	Agriculture	17.6040141739275
Afghanistan	Afghanistan	Fishing	7.76864703939595
Afghanistan	Afghanistan	Mining and Quarrying	2.96568961196593
Afghanistan	Afghanistan	Food & Beverages	60.6663876199583
Afghanistan	Afghanistan	Textiles and Wearing Apparel	2.74657198624447
Afghanistan	Afghanistan	Wood and Paper	1.74656850454756
Afghanistan	Afghanistan	Petroleum, Chemical and Non-Metallic Mineral Products	9.08189632683002
Afghanistan	Afghanistan	Metal Products	0.666662789316863
Afghanistan	Afghanistan	Electrical and Machinery	14.8092701487229
Afghanistan	Afghanistan	Transport Equipment	9.86096812015015
Afghanistan	Afghanistan	Other Manufacturing	2.92871906406867
Afghanistan	Afghanistan	Recycling	2.03216560099591
Afghanistan	Afghanistan	Electricity, Gas and Water	17.1710796428036
Afghanistan	Afghanistan	Construction	52.7713866479557
Afghanistan	Afghanistan	Maintenance and Repair	1.02554518074352
Afghanistan	Afghanistan	Wholesale Trade	15.1626085102504
Afghanistan	Afghanistan	Retail Trade	33.3158856997024
Afghanistan	Afghanistan	Hotels and Restraurants	39.4508848939864
Afghanistan	Afghanistan	Transport	20.9072245336819
Afghanistan	Afghanistan	Post and Telecommunications	9.49644428537929
Afghanistan	Afghanistan	Finacial Intermediation and Business Activities	195.025735903976
Afghanistan	Afghanistan	Public Administration	43.1881228779444
Afghanistan	Afghanistan	Education, Health and Other Services	119.534279629405
Afghanistan	Afghanistan	Private Households	0.899674485802608
Afghanistan	Afghanistan	Others	1.0802003145929
Afghanistan	Albania	Fishing	0.010143982308185
Afghanistan	Armenia	Fishing	0.0140880818303885
Afghanistan	Austria	Fish and other fishing products, services incidental of fishing	0.0172327582698343
Afghanistan	Azerbaijan	Agriculture	0.0413345665471819
Afghanistan	Azerbaijan	Food & Beverages	0.0438891466851833
Afghanistan	Azerbaijan	Transport	0.0112230587548136
Afghanistan	Belize	Fishing	0.014503986303243
Afghanistan	Benin	Agriculture	0.145103587272664
Afghanistan	Bulgaria	Transport Equipment	0.0411141075353749
Afghanistan	Bulgaria	Hotels and Restraurants	0.0366832673062765
Afghanistan	Bulgaria	Transport	0.0973956139167245
Afghanistan	Bulgaria	Education, Health and Other Services	0.0138905525524499
Afghanistan	Ecuador	Shrimp and shrimp larvae	0.0719354425297717
Afghanistan	Ecuador	Live fish, fresh or chilled	0.0314929221742701
Afghanistan	Ecuador	Shrimp prepared	0.0405710805385385
Afghanistan	Ecuador	Canned Aquatic Species	0.0159361696826331
Afghanistan	Eritrea	Fishing	0.0121669906383481
Afghanistan	Ethiopia	Fishing	0.0401274615391773
Afghanistan	Ethiopia	Mining and Quarrying	0.0160320520321252
Afghanistan	Ethiopia	Construction	0.0346266731961013
Afghanistan	Ethiopia	Finacial Intermediation and Business Activities	0.0392539758153499
Afghanistan	Ethiopia	Education, Health and Other Services	0.0174540204201469
Afghanistan	Georgia	Fish and other fishing products, services incidental to fishing	0.0168899039536341
Afghanistan	Greece	Other transport equipment	0.02351712786272
Afghanistan	India	Animal services(agricultural)	0.0199643958506898
Afghanistan	India	Other transport services	0.0100443554186644
Afghanistan	India	Hotels and restaurants	0.0156271990649066
Afghanistan	Indonesia	Specialaized machinery	0.0225741817659255
Afghanistan	Indonesia	Household electrical equipment	0.0161916918286109
Afghanistan	Indonesia	Transportation	0.0140837945681973
Afghanistan	Iran	Prepared and preserved vegetables, Fruit Juices and vegetable juices & pepapated and preserved fruit and nuts	0.168552930342056
Afghanistan	Iran	All kinds of biscuits & confectionery	0.018118464999882
Afghanistan	Iran	Lodging services	0.111321484160097
Afghanistan	Kazakhstan	Precision Instruments	0.0106618019895927
Afghanistan	Kazakhstan	Other Products	0.0106632794630164
Afghanistan	Kazakhstan	Agriculture	0.043980882479528
Afghanistan	Kazakhstan	Transport	0.0639243913450064
Afghanistan	Kazakhstan	Other Prod. Sectors	0.0596607307027966
Afghanistan	Kazakhstan	N-Prod. Transport	0.0116642895069541
Afghanistan	Kenya	Tea	0.0111122751575793
Afghanistan	Kenya	Building and Construction	0.013171475918617
Afghanistan	Kenya	Trade	0.0203683551646456
Afghanistan	Kenya	Hotels	0.120786184907476
Afghanistan	Kenya	Transport	0.598184848638255
Afghanistan	Kenya	Restaurants	0.0520786925817162
Afghanistan	Kyrgyzstan	Other crops	0.0106226076937445
Afghanistan	Kyrgyzstan	Irrigation water supply	0.0326498953102578
Afghanistan	Kyrgyzstan	Chemicalization service	0.0318567984445411
Afghanistan	Kyrgyzstan	Other Agri. Services	0.0283614594332379
Afghanistan	Kyrgyzstan	Machinery and equipment, House appliances, Electric machines and equipment	0.0128102174420265
Afghanistan	Kyrgyzstan	Production of spare parts and engines for vehicles, Other machinery and equipment	0.380103499461971
Afghanistan	Kyrgyzstan	Furniture production, Other industry sectors and reprocessing	0.0484955929946886
Afghanistan	Kyrgyzstan	Hotels and restaurants	0.0181705801709891
Afghanistan	Kyrgyzstan	Road transport	0.0234548956135083
Afghanistan	Kyrgyzstan	Air transport	0.0168411879546556
Afghanistan	Kyrgyzstan	Auxiliary transport activities	0.161525388976187
Afghanistan	Kyrgyzstan	Insurance and others	0.0441162331694749
Afghanistan	Latvia	Furniture, other manufactured goods n.e.c.	0.0130637316666452
Afghanistan	Liechtenstein	Fishing	0.019912253302302
Afghanistan	Luxembourg	Fishing	0.0361037300097984
Afghanistan	Madagascar	Fishing	0.0378555444037347
Afghanistan	Malaysia	Oils and fats	0.0165311447848734
Afghanistan	Oman	Transport Equipment	0.0123621735702895
Afghanistan	Peru	Apparel	0.0122654072304399
Afghanistan	Qatar	Agriculture	0.0120192354086037
Afghanistan	Moldova	Agriculture	0.01267387158286
Afghanistan	Moldova	Fishing	0.0415403873153537
Afghanistan	Moldova	Construction	0.0144153134834011
Afghanistan	Moldova	Transport	0.012042482335273
Afghanistan	Moldova	Finacial Intermediation and Business Activities	0.0316538973831414
Afghanistan	Moldova	Re-export & Re-import	0.0130118909960969
Afghanistan	Seychelles	Fishing	0.116949483763143
Afghanistan	Singapore	Nursery products	0.0109408029086789
Afghanistan	Singapore	Other manufacturing	0.0148630411747504
Afghanistan	Slovakia	Fish and other fishing products, services incidental of fishing	0.0197713313677749
Afghanistan	Slovakia	Re-export	0.0414786443196308
Afghanistan	Slovenia	Fish and other fishing products, services incidental of fishing	0.0134794515742676
Afghanistan	South Sudan	Fishing	0.0129659522956285
Afghanistan	Swaziland	Other Manufacturing	0.159742761427351
Afghanistan	Thailand	Rice Milling	0.0131159721819656
Afghanistan	Thailand	Fertilizer and Pesticides	0.01124305882376
Afghanistan	Thailand	Structural Metal Products	0.0149178120965311
Afghanistan	TFYR Macedonia	Fish and other fishing products, services incidental of fishing	0.0229327507272213
Afghanistan	Turkmenistan	Agriculture	0.276606776839917
Afghanistan	Turkmenistan	Food & Beverages	0.145018715818985
Afghanistan	Turkmenistan	Textiles and Wearing Apparel	0.102455379011772
Afghanistan	Turkmenistan	Petroleum, Chemical and Non-Metallic Mineral Products	0.0605980710546459
Afghanistan	Turkmenistan	Electrical and Machinery	0.112767299659451
Afghanistan	Turkmenistan	Transport Equipment	0.0376180649470287
Afghanistan	Turkmenistan	Electricity, Gas and Water	0.0103007776901568
Afghanistan	Turkmenistan	Construction	0.0232613916507318
Afghanistan	Turkmenistan	Retail Trade	0.0641341686343931
Afghanistan	Turkmenistan	Hotels and Restraurants	0.617325654153068
Afghanistan	Turkmenistan	Transport	0.853552730907956
Afghanistan	Turkmenistan	Post and Telecommunications	0.0119225078051246
Afghanistan	Turkmenistan	Education, Health and Other Services	0.178407983626398
Afghanistan	Tanzania	Fishing	0.0102827795457044
Afghanistan	Vanuatu	Fishing	0.0123421788093557
Afghanistan	Zimbabwe	Agriculture	0.148617042567513
Afghanistan	Zimbabwe	Fishing	0.0901664199081562
Afghanistan	Zimbabwe	Mining and Quarrying	0.0112938032458054
Afghanistan	Zimbabwe	Transport	0.0191086243272503
Afghanistan	Zimbabwe	Finacial Intermediation and Business Activities	0.0149181848917988
Albania	Albania	Agriculture	32.0518211788954
Albania	Albania	Fishing	14.5748140017356
Albania	Albania	Mining and Quarrying	0.839324884043015
Albania	Albania	Food & Beverages	99.519251018608
Albania	Albania	Textiles and Wearing Apparel	3.26029817813656
Albania	Albania	Wood and Paper	2.48539822219456
Albania	Albania	Petroleum, Chemical and Non-Metallic Mineral Products	9.45688874550891
Albania	Albania	Metal Products	0.993583968528087
Albania	Albania	Electrical and Machinery	25.8755231237837
Albania	Albania	Transport Equipment	10.8475704094843
Albania	Albania	Other Manufacturing	5.20671686179938
Albania	Albania	Recycling	1.14559082073403
Albania	Albania	Electricity, Gas and Water	11.624844319651
Albania	Albania	Construction	199.622570860451
Albania	Albania	Maintenance and Repair	1.58688585357365
Albania	Albania	Wholesale Trade	22.3648359594878
Albania	Albania	Retail Trade	45.8889671983693
Albania	Albania	Hotels and Restraurants	43.1987988945439
Albania	Albania	Transport	30.2809538782638
Albania	Albania	Post and Telecommunications	12.9410934753679
Albania	Albania	Finacial Intermediation and Business Activities	329.628134874824
Albania	Albania	Public Administration	46.5349837774298
Albania	Albania	Education, Health and Other Services	121.005403702575
Albania	Albania	Private Households	1.41475832880114
Albania	Albania	Others	1.37574308827231
Albania	Armenia	Fishing	0.0202366734106099
Albania	Austria	Fish and other fishing products, services incidental of fishing	0.0161043233271219
Albania	Belize	Fishing	0.0168493865566133
Albania	Benin	Agriculture	0.0152508657946313
Albania	Bhutan	Construction	0.0141376810710617
Albania	Bhutan	Transport	0.0183580357317288
Albania	Bolivia	METAL PRODUCTS, MACHINERY AND EQUIPMENT	0.0207564443582949
Albania	Bosnia and Herzegovina	Fishing	0.0301126084094917
Albania	Bulgaria	Agriculture	0.0684278523424505
Albania	Bulgaria	Food & Beverages	0.27704012282876
Albania	Bulgaria	Textiles and Wearing Apparel	0.0738896140612405
Albania	Bulgaria	Petroleum, Chemical and Non-Metallic Mineral Products	0.0672887554353663
Albania	Bulgaria	Electrical and Machinery	0.234109803330187
Albania	Bulgaria	Other Manufacturing	0.0575845408971116
Albania	Bulgaria	Hotels and Restraurants	0.0365128680176181
Albania	Bulgaria	Transport	0.0978115783367626
Albania	Bulgaria	Education, Health and Other Services	0.0138987177667655
Albania	Burundi	Agriculture	0.035099501024282
Albania	Cambodia	Fishing	0.0211121147445987
Albania	Central African Republic	Agriculture	0.0200995049602246
Albania	Central African Republic	Construction	0.010348546985286
Albania	Chad	Agriculture	0.0443698888986717
Albania	China	Other transport machinery	0.0212495780382331
Albania	Croatia	Food & Beverages	0.0126210004262029
Albania	Croatia	Electrical and Machinery	0.0135154323119205
Albania	Croatia	Transport	0.0285365576498352
Albania	Cyprus	Fishing	0.0119868758329581
Albania	DR Congo	Agriculture	0.0139435450429739
Albania	Djibouti	Agriculture	0.0363499096602846
Albania	Ecuador	Trade Services	0.0291830885868396
Albania	Ecuador	Transportation and storage services	0.0102726487936947
Albania	Ecuador	Services rendered to companies	0.0514545225354318
Albania	Eritrea	Agriculture	0.0208680244106248
Albania	Ethiopia	Agriculture	0.0272758646850807
Albania	Ethiopia	Fishing	0.0228614139339917
Albania	Ethiopia	Mining and Quarrying	0.0417398725208548
Albania	Ethiopia	Petroleum, Chemical and Non-Metallic Mineral Products	0.0119931526676459
Albania	Ethiopia	Metal Products	0.0106068226963145
Albania	Ethiopia	Electrical and Machinery	0.010675708381675
Albania	Ethiopia	Construction	0.172650840128444
Albania	Ethiopia	Maintenance and Repair	0.020488505985937
Albania	Ethiopia	Wholesale Trade	0.0200177880296597
Albania	Ethiopia	Retail Trade	0.0217381776609308
Albania	Ethiopia	Hotels and Restraurants	0.0164774554876587
Albania	Ethiopia	Transport	0.0323468913455059
Albania	Ethiopia	Post and Telecommunications	0.0185044198805783
Albania	Ethiopia	Finacial Intermediation and Business Activities	0.0223045071420574
Albania	Ethiopia	Public Administration	0.0286744821974416
Albania	Ethiopia	Education, Health and Other Services	0.0883494404864464
Albania	Ethiopia	Private Households	0.0206701911564613
Albania	Ethiopia	Re-export & Re-import	0.0146192510584664
Albania	Fiji	Fishing	0.0180691780660052
Albania	French Polynesia	Fishing	0.0177197297192599
Albania	Gambia	Agriculture	0.0168929998371096
Albania	Georgia	Fish and other fishing products, services incidental to fishing	0.0537862634858747
Albania	Georgia	Real estate and renting services, computer and related services, research and development services	0.0132215727638105
Albania	Georgia	Legal, accounting, book-keeping and auditing services	0.0229243432046736
Albania	Georgia	Architectural and  engineering services, technical testing and analysis services, advertising services	0.022903271974181
Albania	Georgia	Investigation and security services	0.0210603348819938
Albania	Greece	Products of agriculture, hunting and related services	0.146727312466673
Albania	Greece	Products of forestry, logging and related services	0.022906597681264
Albania	Greece	Fish and other fishing products, services incidental of fishing	0.330777926164273
Albania	Greece	Food products and beverages	0.343175329982
Albania	Greece	Textiles	0.11714402527802
Albania	Greece	Wearing apparel, furs	0.141151752990514
Albania	Greece	Wood and products of wood and cork (except furniture), articles of straw and plaiting materials	0.010777613755208
Albania	Greece	Chemicals, chemical products and man-made fibres	0.196420248549524
Albania	Greece	Rubber and plastic products	0.0168512932313342
Albania	Greece	Other non-metallic mineral products	0.0266855319521132
Albania	Greece	Machinery and equipment n.e.c.	0.246455176239895
Albania	Greece	Electrical machinery and apparatus n.e.c.	0.0516479964338211
Albania	Greece	Radio, television and communication equipment and apparatus	0.0334448046654394
Albania	Greece	Medical, precision and optical instruments, watches and clocks	0.0141843777064326
Albania	Greece	Motor vehicles, trailers and semi-trailers	0.037515496724381
Albania	Greece	Other transport equipment	0.0101334296505552
Albania	Greece	Furniture, other manufactured goods n.e.c.	0.140326596378779
Albania	Greece	Construction work	0.0110818744614752
Albania	Greece	Hotel and restaurant services	0.0948637392776277
Albania	Greece	Land transport, transport via pipeline services	0.094973964101426
Albania	Greece	Water transport services	0.113175762512303
Albania	Greece	Air transport services	0.0402015081470131
Albania	Greece	Supporting and auxiliary transport services, travel agency services	0.0617652058772966
Albania	Greece	Renting services of machinery and equipment without operator and of personal and household goods	0.0113160491856834
Albania	Greece	Recreational, cultural and sporting services	0.0115148833131308
Albania	Guinea	Fishing	0.0232698046919264
Albania	Honduras	Fishing	0.0147853800510589
Albania	Italy	Products of agriculture, hunting and related services	0.0122386296479704
Albania	Italy	Products of forestry, logging and related services	0.0393897885400043
Albania	Italy	Fish and other fishing products, services incidental of fishing	0.0791048413818902
Albania	Italy	Food products and beverages	0.0301094485288755
Albania	Italy	Textiles	0.0164161113440246
Albania	Italy	Wearing apparel, furs	0.0113211983860249
Albania	Italy	Machinery and equipment n.e.c.	0.0827412154383372
Albania	Italy	Electrical machinery and apparatus n.e.c.	0.013670510452203
Albania	Italy	Motor vehicles, trailers and semi-trailers	0.0290225352736409
Albania	Italy	Furniture, other manufactured goods n.e.c.	0.0205203605358965
Albania	Kyrgyzstan	Irrigation water supply	0.0683883877631761
Albania	Kyrgyzstan	Chemicalization service	0.0668227198434783
Albania	Kyrgyzstan	Other Agri. Services	0.0591154620734015
Albania	Laos	Agriculture	0.0149838011884894
Albania	Liberia	Agriculture	0.0177464038251983
Albania	Liberia	Construction	0.0272309174389976
Albania	Liechtenstein	Fishing	0.0998519190727941
Albania	Luxembourg	Fishing	0.0210977007036446
Albania	Madagascar	Fishing	0.119921750282722
Albania	Maldives	Fishing	0.0220731972760937
Albania	Malta	Fish and other fishing products, services incidental of fishing	0.0276523935478876
Albania	Mauritania	Fishing	0.0298591399334917
Albania	Monaco	Fishing	0.0311763180876185
Albania	Montenegro	Agriculture	0.0375082410096024
Albania	Montenegro	Food & Beverages	0.0243485020537338
Albania	Montenegro	Transport	0.0111786389884255
Albania	Mozambique	Agriculture	0.0107857866775397
Albania	Mozambique	Fishing	0.0228583538471965
Albania	Namibia	Fishing	0.0174089562653849
Albania	New Caledonia	Fishing	0.0302055148765924
Albania	Nicaragua	Fishing	0.0264712882186459
Albania	Papua New Guinea	Fishing	0.0213723912363071
Albania	Moldova	Fishing	0.0260047928394727
Albania	Moldova	Finacial Intermediation and Business Activities	0.0195196714680817
Albania	Rwanda	Agriculture	0.0148978567649306
Albania	Sao Tome and Principe	Construction	0.0105144834832097
Albania	Seychelles	Fishing	0.396929448808556
Albania	Seychelles	Food & Beverages	0.0101140722750921
Albania	Seychelles	Construction	0.0109472941586454
