Consumption_Country	Consumption_Industry	Total_Threatened_Animalia	Total_Threatened_Plantae	Aggregated_Threats	Production_Country	Production_Industry	Threatened_Animalia	Threatened_Plantae	Aggregated_Threats_Per_Tradepath
China	Construction	8713	1853	2513.6	China	Construction	660	331	392.3
					China	Forestry	370	27	133.4
					Singapore	Other business & technical services	1044	62	100.7
					Laos	Agriculture	616	44	87
					Thailand	Silk Worm	1794	71	79.8
					China	Resident services and other services	608	221	67.7
					Yemen	Mining and Quarrying	436	2	61.5
					South Korea	Crude petroleum and natural gas	288	36	58.8
					Gabon	Agriculture	225	57	43.1
					China	Steel-processing	1088	265	40.5
					Oman	Mining and Quarrying	475	6	40.4
					Myanmar	Agriculture	372	37	38.7
					Papua New Guinea	Mining and Quarrying	566	1	38.6
					China	Metal products	1088	265	38.6
					China	Logging and transport of timber and bamboo	370	27	37.2
					Ethiopia	Agriculture	425	66	27.9
					China	Crop cultivation	223	61	27.6
					New Caledonia	Mining and Quarrying	395	1	27.5
					China	Sawmills and fibreboard	1088	265	25.6
					Israel	Photographic activities and other business activities n.e.c.	678	13	25.2
					Cambodia	Agriculture	316	22	25.2
					China	Non-ferrous ore mining	134	7	24.7
					Cameroon	Agriculture	223	77	22.6
					China	Pottery, china and earthenware	1088	265	22.5
					Philippines	Iron ore	728	11	22.4
					China	Coking	1088	265	21.1
					South Africa	Businessactivities	683	32	21
					Viet Nam	Metallic ore	440	5	19.9
					Kuwait	Business services except machinery & equipment rental & leasing	361	2	19.6
					Philippines	Other metallic ore	606	3	17.7
					Australia	Iron ores	606	23	17.4
					Madagascar	Mining and Quarrying	351	2	17.1
					Indonesia	Timber	1169	62	17.1
					Viet Nam	Forestry	257	14	16.9
					Viet Nam	Cude oil, natural gas (except exploration)	148	1	16.5
					Madagascar	Agriculture	316	413	16.5
					China	Warehousing	248	82	16
					China	Fishery	429	55	15.1
					Malaysia	Stone, clay & sand quarrying	601	1	14.8
					China	Highway freight and passangers transport	102	36	14.7
					Angola	Mining and Quarrying	522	44	14.6
					Germany	Forestry	112	10	14.3
					Japan	Clay refractories	481	1	14.2
					China	Crude petroleum products and Natural gas products	45	6	13.7
					Indonesia	Other metallic ore	618	1	13.1
					Myanmar	Mining and Quarrying	353	1	13
					Egypt	Mining and Quarrying	332	1	12.4
					Mauritius	Other business activities 	411	3	12.4
					Japan	Other business services	625	17	11.9
					China	Chemicals for special usages	436	108	11.7
					China	Other non-metallic mineral products	436	108	11.6
					South Africa	Other mining	137	9	11.5
					Saudi Arabia	Mining and Quarrying	346	1	11.3
					Tanzania	Mining and Quarrying	399	2	11
					USA	Support activities for agriculture and forestry	621	37	11
					Congo	Mining and Quarrying	437	49	11
					China	Fireproofproducts	436	108	10.9
					Indonesia	Forestry	94	12	10.6
					Taiwan	Undistributed	567	3	10.5
					Australia	Services to mining	606	23	10
