Consumption_Country	Consumption_Industry	Total_Threatened_Animalia	Total_Threatened_Plantae	Aggregated_Threats	Production_Country	Production_Industry	Threatened_Animalia	Threatened_Plantae	Aggregated_Threats_Per_Tradepath
China	Construction	8078	1496	1536.3	Singapore	Other business & technical services	1044	62	100.7
					Laos	Agriculture	616	44	87
					Thailand	Silk Worm	1794	71	79.8
					Yemen	Mining and Quarrying	436	2	61.5
					South Korea	Crude petroleum and natural gas	288	36	58.8
					Gabon	Agriculture	225	57	43.1
					Oman	Mining and Quarrying	475	6	40.4
					Myanmar	Agriculture	372	37	38.7
					Papua New Guinea	Mining and Quarrying	566	1	38.6
					Ethiopia	Agriculture	425	66	27.9
					New Caledonia	Mining and Quarrying	395	1	27.5
					Israel	Photographic activities and other business activities n.e.c.	678	13	25.2
					Cambodia	Agriculture	316	22	25.2
					Cameroon	Agriculture	223	77	22.6
					Philippines	Iron ore	728	11	22.4
					South Africa	Businessactivities	683	32	21
					Viet Nam	Metallic ore	440	5	19.9
					Kuwait	Business services except machinery & equipment rental & leasing	361	2	19.6
					Philippines	Other metallic ore	606	3	17.7
					Australia	Iron ores	606	23	17.4
					Madagascar	Mining and Quarrying	351	2	17.1
					Indonesia	Timber	1169	62	17.1
					Viet Nam	Forestry	257	14	16.9
					Viet Nam	Cude oil, natural gas (except exploration)	148	1	16.5
					Madagascar	Agriculture	316	413	16.5
					Malaysia	Stone, clay & sand quarrying	601	1	14.8
					Angola	Mining and Quarrying	522	44	14.6
					Germany	Forestry	112	10	14.3
					Japan	Clay refractories	481	1	14.2
					Indonesia	Other metallic ore	618	1	13.1
					Myanmar	Mining and Quarrying	353	1	13
					Egypt	Mining and Quarrying	332	1	12.4
					Mauritius	Other business activities 	411	3	12.4
					Japan	Other business services	625	17	11.9
					South Africa	Other mining	137	9	11.5
					Saudi Arabia	Mining and Quarrying	346	1	11.3
					Tanzania	Mining and Quarrying	399	2	11
					USA	Support activities for agriculture and forestry	621	37	11
					Congo	Mining and Quarrying	437	49	11
					Indonesia	Forestry	94	12	10.6
					Taiwan	Undistributed	567	3	10.5
					Australia	Services to mining	606	23	10
					Viet Nam	Coal	417	3	9.8
					North Korea	Agriculture	89	17	9.2
					Indonesia	Crude petroleum and natural gas	236	0	8.9
					Malaysia	Fish etc.	672	8	8.8
					Malaysia	Buildings & constructions	671	2	8.4
					Papua New Guinea	Agriculture	68	28	8.3
					Peru	Services to Companies	426	37	8.2
					New Zealand	Services to agriculture, hunting and trapping	343	27	8.1
					Qatar	Mining and Quarrying	126	0	7.4
					Thailand	Coffee and Tea	256	18	7.3
					Oman	Transport	264	2	7.3
					Singapore	Electricity	541	0	7.3
					North Korea	Mining and Quarrying	80	9	7.2
					Chile	Business service activities	218	6	7.1
					Russia	Other Business Activities	385	19	6.4
					Mongolia	Mining and Quarrying	129	7	6.4
					Russia	Agriculture, hunting, forestry and fishing	298	25	6.4
					Mozambique	Agriculture	184	14	6.4
					Japan	Coal products	481	1	6.1
					Japan	Ferro alloys	569	16	6.1
					Philippines	Forestry	64	3	5.7
					Japan	Agricultural services (except veterinary service)	510	1	5.6
					Malaysia	Crude petrol, natural gas &coal	217	0	5.3
					India	Animal services(agricultural)	410	2	5.2
					India	Iron ore	382	2	5.2
					Thailand	Petroleum and Natural Gas	217	1	5.2
					Yemen	Construction	397	3	5.1
					Switzerland	Renting of machinery and equip-ment with-out operator and of personal and household goods, Other business activities	178	18	5
					Singapore	Other manufacturing	204	0	5
					Kuwait	Crude petroleum & Natural gas production	173	0	5
					Malaysia	Transport	263	28	4.9
					Australia	Crude oil	237	4	4.8
					Portugal	Forestry, logging and related service activities	91	11	4.7
					South Africa	Transportservices	195	21	4.6
					Angola	Transport	76	11	4.5
					Ecuador	Other Business	257	2	4.4
					Canada	Agriculture, hunting, forestry and fishing	149	53	4.2
					Taiwan	Forestry	54	4	4.1
