Consumption_Country	Threatened_Animalia	Threatened_Plantae	Aggregated_Threats
India	2467	482	10008.6
Thailand	2397	293	9660.4
USA	2473	820	7888.3
Japan	1732	131	7691.2
Indonesia	2349	311	7117.5
Taiwan	1474	114	7001.4
Malaysia	1733	474	6078.7
Colombia	1908	220	5687.8
Philippines	1604	202	5273.3
Australia	1972	295	5091.8
Singapore	1203	95	4742.1
Mexico	1954	640	4420.6
Mauritius	796	89	4351.2
Ecuador	1306	604	4206.9
Israel	1052	52	4173.7
South Africa	1512	256	4161
Viet Nam	1648	283	3913.9
Madagascar	1525	700	3782.3
Tanzania	1512	604	3588.1
China	1691	535	3543.4
Myanmar	1296	184	3536.7
Kenya	1193	332	3498.9
Papua New Guinea	1154	156	3452
Peru	1221	207	3341.4
Mozambique	1082	154	3299.3
Iran	805	56	3261.5
Cambodia	1080	110	3125.8
Venezuela	994	131	2948.7
New Caledonia	801	188	2855.7
Brazil	1589	589	2818.6
Somalia	792	83	2802.9
Sudan	770	47	2762.6
Egypt	871	42	2747.5
Sri Lanka	895	86	2696.1
Russia	874	169	2634.3
Fiji	744	58	2565.4
Eritrea	683	16	2518.6
Seychelles	854	92	2479.9
Spain	1227	411	2456.2
Saudi Arabia	716	18	2411
Jordan	625	29	2365.6
Turkey	829	166	2332.3
Djibouti	605	10	2262.3
Vanuatu	585	37	2259.5
Yemen	731	128	2157.1
Panama	878	234	1997.8
Greece	881	171	1877.8
France	948	226	1870.7
Cameroon	1036	544	1853.2
Italy	960	261	1781.7
Samoa	466	9	1735.8
Canada	551	140	1720.5
Costa Rica	786	158	1684.9
Portugal	737	256	1674.5
Maldives	446	15	1673
DR Congo	1156	164	1643.6
Honduras	733	90	1618.7
Nigeria	920	262	1614.2
Chile	521	104	1550.3
Pakistan	552	47	1449.2
Kuwait	414	2	1445
Switzerland	395	100	1422.8
Argentina	670	164	1390.7
Cuba	508	137	1384.4
Nicaragua	632	76	1384.3
French Polynesia	385	10	1364.1
Uganda	733	94	1327.3
Oman	563	9	1275.9
Guatemala	636	132	1203.8
Croatia	615	113	1202.7
Iraq	419	17	1183.7
Sierra Leone	639	107	1169.8
Georgia	323	112	1158.7
Ghana	756	159	1152.4
Romania	480	102	1145.7
Morocco	641	144	1132.3
Bangladesh	468	83	1105.8
UAE	395	5	1105.7
Albania	535	83	1105.1
Montenegro	472	74	1084.5
Serbia	390	94	1074.3
Dominican Republic	416	67	1069
Laos	840	123	1066.2
Haiti	431	63	1040.4
Guinea	726	92	1035.7
Bolivia	485	206	1016.6
Jamaica	365	112	1005.1
Ukraine	499	126	983.6
Angola	676	84	980.6
Bosnia and Herzegovina	447	70	948.7
Uruguay	354	50	948.6
Cote dIvoire	740	145	947.7
Qatar	305	4	934.5
Gabon	607	203	931.5
Bahamas	397	46	923.1
Austria	426	109	921.3
Denmark	385	62	903.4
Algeria	496	102	901.3
Belize	441	52	900.1
South Korea	386	62	896.4
Slovenia	492	98	885
Benin	538	56	883.7
Germany	500	112	879.7
Bahrain	293	4	866.5
TFYR Macedonia	420	62	851.7
New Zealand	547	43	841.1
Senegal	581	60	839
Poland	360	99	837.5
Uzbekistan	198	31	809.1
Nepal	357	55	808.2
Kazakhstan	328	47	805.1
Bulgaria	483	117	804.6
Zambia	522	59	800.6
Gambia	458	25	782.8
Togo	554	48	782.2
Namibia	514	64	776.3
El Salvador	335	56	773.8
Tunisia	431	71	764
Liberia	668	78	757.3
Lebanon	363	42	757
Syria	440	48	751.8
Antigua	290	25	740.9
Rwanda	339	38	738.6
Congo	611	82	734.9
Paraguay	204	71	722.6
Barbados	287	20	697
Slovakia	340	83	694.6
British Virgin Islands	292	33	692.3
Brunei	440	75	677.7
Guyana	380	49	662.7
Norway	324	61	655.8
Hungary	344	85	652
Mali	304	51	647.7
Central African Republic	387	60	637.5
Czech Republic	319	100	629
Cyprus	307	54	625.8
Malawi	440	53	619.8
Burundi	324	35	617.1
Mauritania	457	12	612
Botswana	299	18	611.6
Bhutan	220	47	597.2
Netherlands	349	60	593.7
Sweden	326	76	581.8
Kyrgyzstan	175	31	574.5
Bermuda	220	20	568.6
Armenia	227	74	562.1
UK	550	90	559.6
Azerbaijan	272	40	552.4
Lithuania	219	42	539.8
South Sudan	306	28	539.6
Latvia	239	42	539.2
Burkina Faso	252	39	533.2
Niger	242	28	532.4
Finland	236	51	525.6
Libya	322	29	515.3
Ireland	325	48	513
Malta	270	29	505.8
Trinidad and Tobago	375	33	489.8
North Korea	306	45	487
Chad	265	25	480.4
Afghanistan	194	27	476.2
Swaziland	245	26	475.7
Gaza Strip	167	27	473.5
Belgium	335	65	471.7
Suriname	349	37	469.2
Zimbabwe	386	40	457.6
Estonia	204	38	421.3
Hong Kong	271	28	414.7
Turkmenistan	220	11	398.8
Cape Verde	236	7	392.3
Mongolia	186	21	350.1
Lesotho	143	9	348.7
Greenland	123	11	337.2
Liechtenstein	135	36	321.6
Tajikistan	159	16	304.1
Luxembourg	194	43	277.1
Sao Tome and Principe	197	32	275.6
Moldova	219	41	251.6
Andorra	108	18	246.5
Iceland	172	13	208.3
Monaco	146	5	207.6
Aruba	183	13	205.8
Ethiopia	440	92	187.7
Macao SAR	45	3	99.4
San Marino	29	1	54.5
Belarus	180	36	11.9
Cayman Islands	0	0	0
Netherlands Antilles	0	0	0
Former USSR	0	0	0
