global_rank	consumption_country	finalsale_country	finalsale_industry	ANIMALIA	PLANTAE	aggregated_finalsale_threat_intensity	finalsale_threat_intensity_proportion	attributed_threat_intensity
1	India	India	Construction	1449	369	2133.46030332893	0.998010042012823	2129.214806958
2	Indonesia	Indonesia	Other construction	1206	186	1971.1611661762	0.997050242175125	1965.34671810218
3	Malaysia	Malaysia	Buildings & constructions	1079	368	1958.25781352818	0.952974324040391	1866.16941614383
4	Thailand	Thailand	Rice Milling	1882	141	1932.42719392478	0.827768470108233	1599.60230191066
5	Philippines	Philippines	Unclassified	951	112	1598.56080628186	1	1598.56080628186
6	Indonesia	Indonesia	Fishery	1214	114	1646.92313107848	0.958491321203793	1578.5615278285
7	Taiwan	Taiwan	Rice 	1301	54	1384.79068927467	0.999493694684417	1384.08956238772
8	Thailand	Thailand	Other Constructions	932	140	1485.4261443913	0.904279475148753	1343.2403742224
9	Mauritius	Mauritius	Constructions and Construction Services 	749	54	1318.71732834727	0.996641688590077	1314.28866489701
10	Ecuador	Ecuador	Building and construction work	895	399	1279.71280833334	0.997822832589508	1276.92665931224
11	India	India	Other crops	1826	254	1333.61766152829	0.952515307436115	1270.29123687285
12	Malaysia	Malaysia	Fish etc.	1212	144	1363.86320787668	0.925687337456091	1262.51090155369
13	China	China	Construction	2305	419	1183.58878161013	0.999970350506789	1183.55368880259
14	India	India	Fishing	1010	200	1173.33752739429	0.990143569068209	1161.77260709585
15	Papua New Guinea	Papua New Guinea	Education, Health and Other Services	805	99	1297.74008364975	0.870912511473476	1130.21807549121
16	Japan	Japan	Grain milling	1460	39	1081.16560319066	0.999866549085736	1081.02132065244
17	Madagascar	Madagascar	Education, Health and Other Services	940	200	1065.08399260044	1	1065.08399260044
18	Tanzania	Tanzania	Education, Health and Other Services	821	312	1055.4109936133	1	1055.4109936133
19	Philippines	Philippines	Fishery	1083	81	1102.93070904911	0.955101486665465	1053.4107599018
20	Singapore	Singapore	Building construction	713	83	1042.79458634555	0.998272363492326	1040.99301634818
21	USA	USA	Fishing 	1203	603	1324.68891939521	0.736242830643673	975.292719737837
22	Mozambique	Mozambique	Education, Health and Other Services	975	133	962.904605492949	1	962.904605492949
23	Myanmar	Myanmar	Education, Health and Other Services	795	122	962.094020232558	1	962.094020232558
24	Kenya	Kenya	Building and Construction	715	226	954.163103640079	0.999200529041852	953.400277949383
25	Cambodia	Cambodia	Education, Health and Other Services	630	72	922.002410702407	0.993205323836456	915.737702899678
26	Egypt	Egypt	Education, Health and Other Services	758	35	905.454600512981	1	905.454600512981
27	Fiji	Fiji	Education, Health and Other Services	554	28	950.035278782248	0.931024723174359	884.506332434118
28	New Caledonia	New Caledonia	Education, Health and Other Services	694	62	865.523583203554	0.995876453125278	861.954556137037
29	Brazil	Brazil	Construction	734	359	862.611412324011	0.998098389337462	860.971061264709
30	Mexico	Mexico	Building	858	198	849.993064798415	1	849.993064798415
31	Saudi Arabia	Saudi Arabia	Education, Health and Other Services	671	13	842.288449950516	0.998452766637917	840.985233160256
32	Yemen	Yemen	Education, Health and Other Services	505	17	817.592595547438	1	817.592595547438
33	Sri Lanka	Sri Lanka	Education, Health and Other Services	582	72	802.398080676794	1	802.398080676794
34	Eritrea	Eritrea	Education, Health and Other Services	535	10	789.498568274081	0.997349568120588	787.406056099977
35	Australia	Australia	Residential building construction	992	156	777.520467050374	0.999908235409231	777.4491182029
36	Somalia	Somalia	Education, Health and Other Services	570	32	757.562703184783	1	757.562703184783
37	Peru	Peru	Construction	1070	177	748.288257464767	0.998792599328416	747.384773720166
38	Sudan	Sudan	Education, Health and Other Services	517	25	728.354884579778	1	728.354884579778
39	Djibouti	Djibouti	Education, Health and Other Services	469	4	716.517684243619	0.993194962790199	711.641754740861
40	Vanuatu	Vanuatu	Education, Health and Other Services	471	30	720.088887184858	0.970708786191776	698.996609629401
41	Jordan	Jordan	Education, Health and Other Services	453	25	695.977580949664	1	695.977580949664
42	Mexico	Mexico	Fishing, hunting and trapping	714	160	720.028566420078	0.951965325369413	685.442228507362
43	Panama	Panama	Education, Health and Other Services	480	178	675.521679207683	1	675.521679207683
44	Viet Nam	Viet Nam	Fishery	836	101	685.660969808698	0.983453052063022	674.315373438855
45	Taiwan	Taiwan	Fruits	1301	54	678.102892011404	0.993457347330373	673.666300314704
46	Seychelles	Seychelles	Construction	567	57	670.770910382271	0.992513857718263	665.749423908699
47	Japan	Japan	Fruits	1438	35	643.975198626518	0.994507925484015	640.438438849215
48	New Caledonia	New Caledonia	Construction	551	62	630.23014716804	0.991897504734598	625.123710384498
49	Venezuela	Venezuela	Mejoras agrï¿½olas	732	78	627.409838616848	0.986313988344805	618.823100252954
50	Sri Lanka	Sri Lanka	Construction	615	74	617.887422792614	0.997862256072308	616.566537706541
51	Costa Rica	Costa Rica	Education, Health and Other Services	431	111	609.627708099782	1	609.627708099782
52	Seychelles	Seychelles	Education, Health and Other Services	520	55	614.910513244569	0.989539527776156	608.478258900625
53	Myanmar	Myanmar	Construction	732	128	597.008201614022	0.999550983807122	596.740135264216
54	Mozambique	Mozambique	Construction	663	120	593.080588385463	0.998545618137334	592.218022734615
55	Australia	Australia	Non-residential building construction	841	73	580.85512021184	0.999619052154984	580.633844705529
56	Kenya	Kenya	Fishing	504	39	576.136823728681	0.987338820332624	568.84225189046
57	Singapore	Singapore	Ownership of dwellings	670	82	570.479406625032	0.995758582182377	568.059765105186
58	Australia	Australia	Non-building construction	987	147	561.500367172062	0.995813526383136	559.149660699037
59	Panama	Panama	Construction	493	202	551.346787959337	0.996591675905996	549.467619417784
60	USA	USA	Food services and drinking places	1210	70	546.796679012477	0.996995165454339	545.153645461928
61	Colombia	Colombia	Real estate and rental housing	1593	166	543.751003690064	1	543.751003690064
62	Cuba	Cuba	Education, Health and Other Services	438	111	543.377360783517	1	543.377360783517
63	USA	USA	Vegetable and melon farming	1737	370	569.383454322815	0.953198932294209	542.735700726496
64	Maldives	Maldives	Education, Health and Other Services	337	15	543.093790210783	0.998511124004388	542.285190903173
65	USA	USA	Hunting and trapping 	1693	305	548.309968844056	0.988682501463771	542.104471574263
66	Samoa	Samoa	Education, Health and Other Services	369	8	603.49155266583	0.891853567191504	538.22609401496
67	Papua New Guinea	Papua New Guinea	Construction	755	98	608.072513133287	0.863960913375481	525.350883845159
68	Japan	Japan	General eating and drinking places (except coffee shops)	1300	40	520.245044030249	0.998263332032005	519.341551126774
69	France	France	Construction work	357	138	522.250997550786	0.994286633368033	519.267186127867
70	Russia	Russia	Construction	558	96	521.77717924118	0.992004800038583	517.605466357843
71	Thailand	Thailand	Distilling Blending Spirits	1218	27	517.791071526706	0.999389266782916	517.474839319815
72	Iran	Iran	Prepared and preserved vegetables, Fruit Juices and vegetable juices & pepapated and preserved fruit and nuts	674	42	630.415454730392	0.811992050508965	511.892337759072
73	China	China	Resident services and other services	608	221	531.337217450142	0.959958397591657	510.061623844248
74	Philippines	Philippines	Slaughtering, meat products and dairy products	1405	132	509.191284716129	0.997063814387315	507.696204591841
75	Mexico	Mexico	Construction of civil engineering work or heavy work	527	169	494.155249603093	0.999766527927722	494.039878152941
76	Israel	Israel	Residential buildings	446	25	491.544446669519	1	491.544446669519
77	Japan	Japan	Other processed seafood	697	30	502.570606283844	0.977192597026137	491.108275943509
78	Madagascar	Madagascar	Construction	717	123	491.460062161088	0.995628267241797	489.31153010799
79	Portugal	Portugal	Construction work	289	158	489.651377700269	0.996515793601033	487.945331236823
80	Indonesia	Indonesia	Transportation	1048	45	550.711228698492	0.879459274588916	484.328097699147
81	Russia	Russia	Food products, beverages and tobacco	651	117	504.802993901074	0.957639635679993	483.419355169594
82	Turkey	Turkey	Construction work	309	77	479.550565436482	0.998709196724296	478.931559995751
83	India	India	Paddy	1215	130	472.809262961149	1	472.809262961149
84	Honduras	Honduras	Education, Health and Other Services	411	48	471.985142037272	1	471.985142037273
85	Nigeria	Nigeria	Education, Health and Other Services	733	181	460.03056974709	1	460.03056974709
