Consumption_Country	Threatened_Animalia	Threatened_Plantae	Unique_Threatened_Species	Total_Threats	proportion imported foorprint	Threatened_Animalia	Threatened_Plantae	Unique_Threatened_Species	Total_Threats	Population	Threat per capita	imported threats per capita
Seychelles	854	92	946	2479.9	0	0	0	0	0	95843	0.025874607	0
British Virgin Islands	292	33	325	692.3	0	0	0	0	0	31196	0.022191948	0
New Caledonia	801	188	989	2855.7	0	0	0	0	0	280460	0.010182201	0
Samoa	466	9	475	1735.8	0	0	0	0	0	196440	0.008836286	0
Bermuda	220	20	240	568.6	0	0	0	0	0	65441	0.008688743	0
Liechtenstein	135	36	171	321.6	0	0	0	0	0	37922	0.008480565	0
Vanuatu	585	37	622	2259.5	0	0	0	0	0	276244	0.008179363	0
Antigua	290	25	315	740.9	0	0	0	0	0	102012	0.007262871	0
Greenland	123	11	134	337.2	0	0	0	0	0	56171	0.006003098	0
Monaco	146	5	151	207.6	0	0	0	0	0	38695	0.005365034	0
French Polynesia	387	10	397	1364.1	0	2	0	2	0	283007	0.004820022	0
Maldives	446	15	461	1673	0	0	0	0	0	436330	0.003834254	0
Mauritius	1209	165	1374	4376.6	0	763	80	843	25.4	1264613	0.003460822	2.00852E-05
Andorra	108	18	126	246.5	0	0	0	0	0	76965	0.003202754	0
Fiji	744	58	802	2565.4	0	0	0	0	0	905502	0.002833125	0
Barbados	287	20	307	697	0	0	0	0	0	285719	0.00243946	0
Belize	441	52	493	900.1	0	0	0	0	0	374681	0.00240231	0
Djibouti	605	10	615	2262.3	0	0	0	0	0	956985	0.002363987	0
Bahamas	398	46	444	923.1	0	1	0	1	0	395361	0.002334828	0
Aruba	183	13	196	205.8	0	0	0	0	0	105264	0.001955084	0
Montenegro	473	74	547	1084.6	0	4	0	4	0.1	622471	0.00174241	1.6065E-07
San Marino	42	1	43	54.7	0	13	0	13	0.2	33400	0.001637725	5.98802E-06
Brunei	440	75	515	677.7	0	1	0	1	0	428697	0.001580837	0
Sao Tome and Principe	197	32	229	275.6	0	0	0	0	0	204327	0.001348818	0
Guyana	1034	151	1185	914.9	0.3	911	129	1040	252.1	777859	0.001176177	0.000324095
Malta	270	29	299	505.8	0	0	0	0	0	465292	0.001087059	0
Singapore	2298	203	2501	4934.2	0	1974	130	2104	192.1	5612253	0.000879183	3.42287E-05
Suriname	349	37	386	469.2	0	0	0	0	0	563402	0.000832798	0
Bhutan	220	47	267	597.2	0	0	0	0	0	807610	0.000739466	0
Cape Verde	236	7	243	392.3	0	0	0	0	0	546388	0.000717988	0
Iceland	174	13	187	208.3	0	2	0	2	0	341284	0.000610342	0
Bahrain	298	4	302	866.6	0	5	0	5	0.1	1492584	0.000580604	6.69979E-08
Eritrea	683	16	699	2518.6	0	0	0	0	0	4474690	0.000562855	0
Cyprus	322	56	378	626.9	0	39	5	44	1.1	1179551	0.000531473	9.32558E-07
Luxembourg	440	163	605	310.8	0.1	386	152	540	33.7	599449	0.000518476	5.62183E-05
Israel	1993	132	2127	4279	0	1300	82	1384	105.3	8712400	0.000491139	1.20862E-05
Panama	1111	249	1360	2009.6	0	334	16	350	11.8	4098587	0.000490315	2.87904E-06
Gabon	611	204	815	931.7	0	12	1	13	0.2	2025137	0.000460068	9.87588E-08
Slovenia	527	101	632	887.1	0	87	5	92	2.1	2066748	0.000429225	1.01609E-06
Papua New Guinea	1154	156	1310	3452	0	0	0	0	0	8251162	0.000418365	0
TFYR Macedonia	420	62	482	851.7	0	1	0	1	0	2083160	0.00040885	0
Albania	535	83	618	1105.1	0	1	0	1	0	2873457	0.000384589	0
Gambia	458	25	483	782.8	0	0	0	0	0	2100568	0.000372661	0
Trinidad and Tobago	378	33	411	490.1	0	20	0	20	0.3	1369125	0.000357966	2.19118E-07
Qatar	379	5	384	936.6	0	96	1	97	2.1	2639211	0.000354879	7.95692E-07
Kuwait	435	3	438	1446.1	0	30	1	31	1.1	4136528	0.000349593	2.65923E-07
Swaziland	266	27	293	476.3	0	22	1	23	0.6	1367254	0.000348362	4.38836E-07
Jamaica	368	112	480	1005.3	0	9	0	9	0.2	2890299	0.000347819	6.9197E-08
Costa Rica	805	162	967	1696.5	0	250	16	266	11.6	4905769	0.000345817	2.36456E-06
Estonia	209	40	253	422.4	0	33	2	35	1.2	1315480	0.0003211	9.12215E-07
Georgia	324	112	437	1158.9	0	15	0	15	0.2	3717100	0.000311775	5.38054E-08
Namibia	658	68	726	782.3	0	170	4	174	6	2533794	0.000308746	2.36799E-06
Taiwan	1593	118	1711	7009.6	0	188	8	196	8.2	"23,052,000"	0.000304078	3.55718E-07
Croatia	658	122	781	1217.6	0	318	76	394	14.9	4125700	0.000295126	3.61151E-06
Latvia	241	43	287	540.7	0	48	3	52	1.5	1940740	0.000278605	7.72901E-07
Oman	611	14	625	1279.6	0	112	5	117	3.6	4636262	0.000275998	7.76488E-07
Uruguay	354	50	404	948.6	0	0	0	0	0	3456750	0.00027442	0
Bosnia and Herzegovina	469	72	541	950.2	0	88	4	92	1.5	3507017	0.000270943	4.27714E-07
Botswana	476	24	500	620.7	0	222	7	229	9.1	2291661	0.000270852	3.97092E-06
Gaza Strip	289	29	318	476	0	168	2	170	2.5	1816000	0.000262115	1.37665E-06
Ecuador	1306	604	1924	4206.9	0	0	0	0	0	16624858	0.000253049	0
Jordan	844	33	877	2403.5	0	624	6	630	37.9	9702353	0.000247723	3.90627E-06
Nicaragua	632	76	708	1384.3	0	0	0	0	0	6217581	0.000222643	0
Australia	2209	329	2539	5185.3	0	1031	46	1077	93.6	24598933	0.000210794	3.80504E-06
Malaysia	2293	494	2787	6365.2	0	1445	46	1491	286.5	31624264	0.000201276	9.0595E-06
Cambodia	1081	110	1191	3125.9	0	10	0	10	0.1	16005373	0.000195303	6.2479E-09
Lithuania	253	50	306	543.1	0	89	15	105	3.3	2827721	0.000192063	1.16702E-06
Armenia	228	74	302	562.1	0	4	0	4	0	2930450	0.000191814	0
Somalia	792	83	875	2802.9	0	0	0	0	0	14742523	0.000190123	0
Switzerland	1399	278	1686	1555.1	0.1	1245	239	1488	132.3	8466017	0.000183687	1.56272E-05
Denmark	524	111	642	1052.6	0.1	351	88	443	149.3	5769603	0.000182439	2.5877E-05
New Zealand	1048	44	1094	847.6	0	515	1	516	6.5	4793900	0.000176808	1.35589E-06
Greece	992	198	1191	1894.3	0	376	72	448	16.5	10760421	0.000176043	1.5334E-06
