Consumption_Country	domestic_consumption	imported_consumption	consumption_proportion	exported_production	net_imported_exported	net_consumption	net_threat_intensity
USA	9791.87656665314	13094.5158596346	0.572152902726338	1972.24024462607	11122.2756150085	22886.3924262878	20914.1521816617
Japan	9133.72289878782	6651.33900714945	0.4213692063284	1626.68593971431	5024.65306743514	15785.0619059373	14158.375966223
China	4604.85713318922	8776.60453065578	0.655877866793061	651.501280790195	8125.10324986558	13381.461663845	12729.9603830548
India	11104.5523292944	1681.28944197856	0.131496187115037	1271.26016839501	410.029273583554	12785.8417712729	11514.5816028779
Thailand	9613.15567790531	1194.00089321006	0.110482427579638	3864.36430494674	-2670.36341173667	10807.1565711154	6942.79226616863
Indonesia	7954.84432990942	1269.64161175955	0.137638196836998	2085.41875847895	-815.777146719396	9224.48594166897	7139.06718319003
Australia	6428.43847218435	2032.17865753081	0.240192721922547	1569.24068221729	462.937975313514	8460.61712971516	6891.37644749787
Taiwan	7017.06614605989	249.081491224468	0.0342797178998085	2481.18422360532	-2232.10273238085	7266.14763728436	4784.96341367904
Malaysia	5955.62482164335	1170.21538431384	0.164221390108571	2546.30236536823	-1376.0869810544	7125.84020595718	4579.53784058895
Philippines	5508.89674859215	317.319044397213	0.0544640047110923	1124.70018296968	-807.381138572469	5826.21579298936	4701.51561001968
Singapore	4039.80549752992	1467.16020616703	0.266418983721306	5562.82433805801	-4095.66413189098	5506.96570369694	-55.8586343610659
Mexico	4825.97489697766	656.822127589025	0.119796907426267	1497.7061983794	-840.884070790373	5482.79702456668	3985.09082618728
Brazil	3859.04417643603	1447.83577934839	0.272822410043451	263.091272776015	1184.74450657237	5306.87995578442	5043.7886830084
France	1895.7915996816	3254.13053546008	0.631879560518939	597.72005483415	2656.41048062593	5149.92213514168	4552.20208030753
Russia	2702.84415182006	2122.93823683541	0.43991586562752	506.283315267414	1616.654921568	4825.78238865547	4319.49907338805
Spain	2724.46586981695	1973.74030596297	0.420105085242523	633.492224882357	1340.24808108062	4698.20617577992	4064.71395089757
Germany	831.951014929451	3828.04398194887	0.821469547609651	536.247503151186	3291.79647879768	4659.99499687832	4123.74749372713
Ecuador	4543.17661007121	90.2857469851151	0.0194855898305979	1361.95262101945	-1271.66687403433	4633.46235705633	3271.50973603688
Viet Nam	4255.1284890268	349.62186544016	0.0759263453014342	1009.4392442666	-659.817378826439	4604.75035446696	3595.31111020036
Mauritius	4401.73283601832	147.161431018263	0.0323510335433962	1605.49770719837	-1458.33627618011	4548.89426703658	2943.39655983821
Italy	1926.27007338498	2501.30113779288	0.564937528611192	442.888280131854	2058.41285766102	4427.57121117786	3984.682931046
